飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2014/01/6227768550cdb08bd2f754ec9ef15b49.jpg,伊留申设计局,2人,NULL,800千米,一台MikulinAM-42活塞发动机,NULL,单发,飞行器,战斗机,苏/俄,NULL,4680千克,13.4米,550千米每小时,伊尔-10攻击机,{'$oid': '5cc930b3831b973d657f103c'},1944年,NULL,NULL,4.14米,1945年,6335千克,平直翼,11.12米
亚音速,http://images.huanqiu.com/sarons/2014/01/aa1dea4756a4a81a11cb1956800b6854.jpg,米格设计局,1人,"
MiG-9由1946年开始生产并且进入苏联空军服役，一共生产610架。除了自己使用以外，还有少量外销到中国人民解放军空军，由于当时国民党空军不停空袭中国大陆的上海等城市，故由1950年11月起苏联空军派出4个师的MiG-9驻防上海，北京和广州等城市，但不久就被米格-15取代，1951年这些MiG-9全部移交中国，解放军使用至1956年，现在于北京航空航天大学和北京小汤山航空博物馆各收藏了一架。
",1100千米,2具RD-20A喷射发动机,NULL,单发,飞行器,战斗机,苏/俄,NULL,3540千克,10米,910千米每小时,米格-9,{'$oid': '5cc930b3831b973d657f103d'},1946年4月,NULL,NULL,2.59米,NULL,5501千克,后掠翼,9.75米
亚音速,http://images.huanqiu.com/sarons/2014/01/0a2508bd554ec1eb4e44a8e5fb96833e.jpg,布雷达公司,4人,NULL,750千米,阿尔发·罗密欧“水星”IVA九缸星型气冷发动机,NULL,单发,飞行器,战斗机,意大利,NULL,1260千克,10.68米,380千米每小时,Ba.27战斗机,{'$oid': '5cc930b4831b973d657f103e'},1933年,NULL,10.68米,3.4米,1934年,1903千克,平直翼,7.75米
超音速,http://images.huanqiu.com/sarons/2014/01/a37765bccfa5e15660c00bc2882c1713.jpg,米高扬,2人,"
米高扬米格-31，是目前世界上飞行速度最快的战斗机，北约代号捕狐犬，是一款由前苏联米高扬设计局以米格-25为基础进一步发展而成的超音速双座全天候拦截机。米格-31拥有推力超强的动力系统，因此得以驱动其庞大的机身进行超音速巡航，但相对的也拥有非常高的油耗；其具有光学迷彩与能盖过干扰反制的超强功率雷达，且因机身尺寸较大，直到21世纪都还能接受各种升级改装，经常被认为是空中预警机和战斗机的结合体。
",NULL,Д-30Ф6涡轮扇叶发动机,NULL,双发,飞行器,战斗机,苏/俄,NULL,21820千克,13.46米,3255千米每小时,米格-31战斗机,{'$oid': '5cc930b4831b973d657f103f'},1975年9月16日,NULL,NULL,6.15米,1982年,46200千克,三角面,22.69米
亚音速,http://images.huanqiu.com/sarons/2014/01/aa768c7b1bee43fc4b660bb70734339d.jpg,波兰PZL航空制造集团,1人,"
PZL P.1战斗机堪称二战时期波兰战斗机主流设计的鼻祖，1929年首机完成，以后波兰PZL航空制造集团在P.1战斗机的基础上开发出了一系列高海鸥翼单翼战斗机，使得高海鸥翼单翼战斗机几乎成了波兰战斗机的象征。
",600千米,630马力 法国 Hispano-Suiza 12Lb 12缸水冷发动机 ×1,波兰PZL航空制造集团,单发,飞行器,战斗机,波兰,NULL,1118千克,10.85米,302千米每小时,PZL P.1战斗机,{'$oid': '5cc930b4831b973d657f1040'},1929年8月,NULL,NULL,2.96米,NULL,1580千克,平直翼,6.98米
亚音速,http://images.huanqiu.com/sarons/2014/01/e0fb99c1b871c7b133b334fb956e8e22.jpg,飞雅特公司,1人,NULL,780千米,飞雅特A74RC38风冷式发动机,NULL,单发,飞行器,战斗机,意大利,NULL,1782千克,9.7米,430千米每小时,CR.42-箭式战斗机,{'$oid': '5cc930b4831b973d657f1041'},1939年,NULL,NULL,3.3米,NULL,2295千克,双翼,8.25米
亚音速,http://images.huanqiu.com/sarons/2014/01/f980f8a528437a49579724174bf9243b.jpg,米格设计局,1人,"
米格-3战斗机是苏联在二战中使用的一种单座活塞式战斗机。该机由当时从属于第一国家飞机工厂的米高扬-格列维奇实验设计局设计，但最初的设计思想则来自波利卡尔波夫设计局的K型机。
",580千米,米库林 AM-35A 液冷 V-12,NULL,单发,飞行器,战斗机,苏/俄,NULL,2699千克,10.2米,640千米每小时,米格-3,{'$oid': '5cc930b4831b973d657f1042'},NULL,NULL,NULL,3.5米,NULL,3299千克,平直翼,8.25米
亚音速,NULL,飞雅特公司,1人,NULL,1150千米,英国制喷射发动机,NULL,单发,飞行器,战斗机,意大利,NULL,3100千克,8.58米,1075千米每小时,G.91战斗机,{'$oid': '5cc930b4831b973d657f1043'},1956年,NULL,NULL,4米,NULL,5500千克,后掠翼,10.3米
亚音速,http://images.huanqiu.com/sarons/2014/01/1d777b36a1dd0a6f4d94d74da2d3dd88.jpg,飞雅特公司,1人,NULL,1200千米,戴姆勒-奔驰DB605发动机,NULL,单发,飞行器,战斗机,意大利,NULL,2630千克,11.85米,623千米每小时,G.55-人马座战斗机,{'$oid': '5cc930b4831b973d657f1044'},1942年,NULL,NULL,3.13米,1943年,3520千克,平直翼,9.37米
亚音速,NULL,PZL航空制造集团,1人,"
PZL P.6战斗机是由PZL P.1战斗机发展而来，依然是采用高海鸥翼，按照波兰空军的要求使用了风冷发动机，机身做了重新设计，飞机重量比P.1战斗机轻了200公斤，战斗性能有了不小的提高，1931年参加法国与美国的航空展获得了极高声誉，不过P.6战斗机仍未进行量产，波兰空军希望在P.6的基础上研制一型安装更大功率风冷发动机的战斗机装备部队。
",650千米,480马力 英国 Bristol Jupiter　VI FH 9缸风冷发动机 ×1,PZL航空制造集团,单发,飞行器,战斗机,波兰,NULL,883千克,NULL,284千米每小时,PZL P.6战斗机,{'$oid': '5cc930b5831b973d657f1045'},NULL,NULL,NULL,NULL,NULL,1355千克,平直翼,NULL
亚音速,NULL,波兰PWS飞机制造厂,1人,"
PWS-10战斗机是波兰PWS飞机制造厂的产品，1930年试飞，虽然PZL的P.1比PWS-10性能更好，但因准备在P.1基础上研制装风冷发动机的新战机，所以P.1并没有量产，作为临时措施，PWS-10被下令先行投入批量生产，这是波兰第1种被批量生产的战斗机，到1932年总共生产了80架。
",520千米,478马力法国Lorraine-Dietrich LD-12Eb 12缸水冷发动机 ×1,波兰PWS飞机制造厂,单发,飞行器,战斗机,波兰,NULL,1113千克,NULL,240千米每小时,PWS-10战斗机,{'$oid': '5cc930b5831b973d657f1046'},1930年,NULL,NULL,NULL,NULL,1550千克,平直翼,NULL
亚音速,http://images.huanqiu.com/sarons/2014/01/8a3cfb257c1a76b00a70c7371560f742.jpg,飞雅特公司,1人,NULL,781千米,飞雅特 A30 RA-bis V12发动机,NULL,单发,飞行器,战斗机,意大利,1953年,1455千克,9.5米,360千米每小时,CR.32-箭式战斗机,{'$oid': '5cc930b5831b973d657f1047'},1933年,NULL,NULL,2.36米,NULL,1975千克,双翼,7.47米
亚音速,http://images.huanqiu.com/sarons/2014/01/326ce36a366259221c8f332740d601cf.jpg,NULL,1人,"
He 162战斗机是德国于二战时第二架量产的喷射战斗机，期望以简单的设计大量生产，配合低飞行训练时间的飞行员拦截美国的轰炸机群，因此又有国民战斗机的昵称，参与了“火精灵”计划。

第一架原型机He 162 V1预计于1944年12月底以前试飞，而第一批1000架将于1945年4月生产完毕，同年5月时每个月的产量要提升至2000架。1945年3月26日一架由飞行员格哈德驾驶的He 162遇上一架落单的英军台风式战斗机，但由于向舵故障而未能把其击落。
",620千米,一台BMW 003E-1喷射发动机,亨克尔公司,双发,飞行器,战斗机,德国,NULL,1750千克,8.45米,890千米每小时,He 162战斗机,{'$oid': '5cc930b5831b973d657f1048'},1944年6月6日,NULL,NULL,2.55米,1945年,2780千克,平直翼,9.1米
亚音速,NULL,飞雅特公司,1人,NULL,445千米,飞雅特A74RC38风冷式发动机,NULL,单发,飞行器,战斗机,意大利,NULL,1963千克,10.99米,470千米每小时,G.50-箭式战斗机,{'$oid': '5cc930b5831b973d657f1049'},1937年,NULL,NULL,3.28米,NULL,2404千克,平直翼,8.01米
亚音速,http://images.huanqiu.com/sarons/2014/01/a8caa3971a4bad998cc1bdb77085bd53.jpg,马其公司,1人,"
MC.205战斗机是MC.202战斗机的改良型，把发动机进一步换成Bf 109G战斗机相同的DB605水冷式发动机，于是要在机身下设置散热器，此外机翼加上MG 151机炮(20毫米口径)，这成为MC.205和MC.202外表上最大的分别换了发动机的MC.205飞行性能大为精进，例如在速度方面就比MC.202快了50公里/小时，整体飞行性能和Bf 109G旗鼓相当，即使面对强敌英军的喷火机也可以应付，也由于火力大为增强，以往意大利战机难以击落的盟军四发动机重型轰炸机，MC.205也可以对付，故此MC.205是意大利在第二次世界大战当中最厉害的国产战斗机。
",950千米,DB605水冷式发动机,NULL,单发,飞行器,战斗机,意大利,NULL,2581千克,10.58米,640千米每小时,MC.205-雷电战斗机,{'$oid': '5cc930b5831b973d657f104a'},1942年,NULL,NULL,3.49米,NULL,3900千克,平直翼,8.85米
NULL,http://images.huanqiu.com/sarons/2014/01/052a9b76f5d1d42c8d1093ac1612aea8.jpg,NULL,1人,"
I-153“海鸥”战斗机（俄文：И-153 Чайка）是苏联卡尔波夫设计局在1938年设计的双翼战斗机，I-15战斗机的改良型。I-153于1938至1941年生产，共计生产3437架。

于1934年服役的伊-15(玻利卡尔波夫I-15)由于生产技术的低劣以及速度不够而不受苏联空军欢迎，I-15的原始设计已无法承担更高性能，连带使得I-153自量产起即告落伍。
",470千米,M-62活塞式气冷发动机， 推力为1000匹马力,波利卡波夫设计局,NULL,飞行器,战斗机,苏/俄,1945年,1348千克,9米,426千米每小时,I-153“海鸥”战斗机,{'$oid': '5cc930b6831b973d657f104b'},1936年,NULL,NULL,3米,1938年,1859千克,双翼,6.17米
超音速,http://images.huanqiu.com/sarons/2014/01/5eb0a9322a0d45759e96dbaa7d98ccdb.jpg,米高扬-格列维奇飞机设计局,1人,"
米格-23战斗机是苏联米高扬-格列维奇飞机设计局于20世纪60年代研制的一种可变后掠翼多用途超音速战斗机。是20世纪70－80年代苏联国土防空部队的主要装备。北约代号鞭挞者（Flogger）。
",2900千米,R-35-300 带加力涡轮喷气式发动机,NULL,双发,飞行器,战斗机,苏/俄,1994年（俄罗斯）,9595千克,13.97米,1350千米每小时,米格-23战斗机,{'$oid': '5cc930b6831b973d657f104c'},1967年6月10日,NULL,NULL,4.82米,NULL,18030千克,变后掠翼,16.7米
亚音速,http://images.huanqiu.com/sarons/2014/01/c2604c4eb33595812142c9fcba481fb3.jpg,米高扬-古列维奇飞机设计局,1人,"
米格－15战斗机（MiG 15）由苏联米高扬-格列维奇飞机设计局设计的，北约给予的绰号是“柴捆（Fagot）”，是苏联第一代喷气式战斗机的代表。据统计，米格－15战斗机各型机总产量超过16500架，是苏联制造数量最大的喷气式飞机。
",1782千米,NULL,NULL,NULL,飞行器,战斗机,苏/俄,NULL,3636千克,10.8米,1076千米每小时,米格-15战斗机,{'$oid': '5cc930b6831b973d657f104d'},1947年6月,NULL,NULL,3.7米,1948年6,5609千克,后掠翼,10.1米
亚音速,http://images.huanqiu.com/sarons/2014/01/9eeb7b49c4831fe4b0bea3f965569160.jpg,马其公司,1人,"
MC.202战斗机是MC.200战斗机的改良型，把发动机换成已名闻世界的Bf 109E战斗机相同的DB601水冷式发动机，于是要在机身下设置散热器，此外驾驶舱加上挡风玻璃变为封闭式，机翼加上SAFAT机枪(7.7毫米口径)。换了发动机的MC.202飞行性能大为改进，例如在速度方面就比MC.200快上足足100千米/小时。
",765千米,DB601A水冷式发动机,NULL,单发,飞行器,战斗机,意大利,NULL,2491千克,10.58米,600千米每小时,MC.202-雷电战斗机,{'$oid': '5cc930b6831b973d657f104e'},1940年,NULL,NULL,3.49米,NULL,2930千克,平直翼,8.85米
亚音速,http://images.huanqiu.com/sarons/2014/01/c0fb7d1d05b9a7ca9e510cfa1b8d464a.jpg,PZL航空制造集团,1人,在P.7战斗机服役后，PZL航空制造集团又在P.7的基础上制作了安装更大功率气冷发动机的改进型，这就导致了PZLP.11战斗机的诞生。波兰空军首先订购了30架装有波兰按许可生产的，英国Bristol Mercury IV S2型575马力风冷发动的P.11a型战斗机。不久PZL进一步修改了P.11的机身与机翼，并使用了更大功率的发动机，这就是P.11c型战斗机。P.11c型战斗机1934年开始生产，第1批50架装按许可证生产的Bristol Mercury V S2型600马力发动机，其余的安装Mercury VI S2型630马力发动机。除了波兰空军以外，罗马尼亚空军也对P.11非常有兴趣，罗马尼亚空军购买了P.11c的生产许可自行生产了70架，此外还购买了50架P.11a的出口型P.11b，保加利亚，希腊，土耳其等国也购买了P.11。,550千米,600~630马力 PZL英式Bristol Mercury V S2 或 Mercury VI S2 9缸风冷发动机 ×1,PZL航空制造集团,单发,飞行器,战斗机,波兰,NULL,1147千克,10.72米,390千米每小时,PZL P.11战斗机,{'$oid': '5cc930b6831b973d657f104f'},NULL,NULL,NULL,2.85米,1934年（P.11c）,1800千克,平直翼,7.55米
超音速,http://images.huanqiu.com/sarons/2014/01/a0216cbebe0f2dc675952ad09828205b.jpg,米高扬设计局,1人,"
米格-17战斗机（北约代号“壁画”）是一款由苏联米高扬设计局研制和生产的战斗机。它是一架单引擎战斗机，其基本型号只有一名飞行员，中单翼。此外它还有可伸缩的起落架和加压座舱。它是基于米格-15战斗机的经验研制的。此款战机除了苏联以外还授权大量共产国进行量产因此有众多不同的衍生型。它后来被米格-19战斗机取代。中华人民共和国仿制的米格－17称为歼-5。
",2060千米,VK-1A,NULL,单发,飞行器,战斗机,苏/俄,NULL,3798千克,9.63米,1114千米每小时,米格-17战斗机,{'$oid': '5cc930b6831b973d657f1050'},1950年1月14日,NULL,NULL,3.8米,1952年10月,5932千克,后掠翼,11.26米
超音速,http://images.huanqiu.com/sarons/2014/01/1b25e37b35d6e127af92158a7283ab78.jpg,NULL,2人,"
米格-21战斗机是苏联米高扬·格列维奇设计局于1950年代初期研制的一种单座单发轻型超音速的第二代战斗机。北约代号为鱼床／鱼窝（Fishbed）。苏联飞行员给它的外号是“三角琴”波兰人则称它为“铅笔”。米格-21（包含仿制、改良型）可能是二十世纪产量最多的喷气式战斗机，越南战争是它最广为人知的战场，在中东地区跟以色列也是频频交手，其他如南北也门战争、印巴战争也看得到米格-21的踪影。至今仍然有不少米格-21活跃在世界上。
",1300千米,1台RF13-300（P25）涡轮喷气发动机,米高扬设计局,单发,飞行器,战斗机,苏/俄,NULL,5900千克,7.15米,2230千米每小时,米格-21战斗机,{'$oid': '5cc930b6831b973d657f1051'},1956年6月14日,NULL,NULL,4.13米,1958年,9600千克,三角面,15.4米
超音速,http://images.huanqiu.com/sarons/2014/01/754d6b368a964c7b166d260396342c29.jpg,苏霍伊公司,1人,"
苏-37“终结者式”战斗机是一种由俄罗斯苏霍伊公司所开发生产的单座多用途原型喷射战斗机。由于苏-37是一系列由苏-27战斗机所衍生出来的新机种之一，因此延续了苏-27的北约代号，被称为侧卫F型（Flanker-F）。苏-37于1996年4月在莫斯科附近的朱可夫斯基飞行测试中心进行首次飞行。
",3300千米,Lyulka AL-37FU涡轮喷射引擎,NULL,双发,飞行器,战斗机,苏/俄,NULL,18500千克,14.7米,2500千米每小时,苏-37战斗机,{'$oid': '5cc930b6831b973d657f1052'},1996年4月2日,NULL,NULL,6.43米,NULL,35000千克,后掠翼,22.18米
超音速,NULL,NULL,1人,"
米格-19战斗机是苏联米高扬-古列维奇飞机设计局于20世纪50年代研制的一种双发喷气式超音速战斗机。是苏联第二代喷气式战斗机，20世纪60－70年代苏联国土防空部队的主要装备，也是苏联第一种量产的超音速战斗机。北约代号农夫（Farmer）。中国仿制的米格－19称为歼-6。
",2200千米,图曼斯基RD-9B或RD-9BF-811 带加力涡轮喷气式发动机,米高扬-古列维奇飞机设计局,单发,飞行器,战斗机,苏/俄,NULL,5447千克,9.2米,1455千米每小时,米格-19战斗机,{'$oid': '5cc930b7831b973d657f1053'},1953年9月18日,NULL,NULL,3.9米,1955年,7560千克,后掠翼,12.5米
亚音速,http://images.huanqiu.com/sarons/2014/01/3a282c9e3381523201f46871ea013237.jpg,马其公司,1人,NULL,570千米,飞雅特A74RC38风冷式发动机,NULL,单发,飞行器,战斗机,意大利,NULL,1964千克,10.58米,504千米每小时,MC.200-雷电战斗机,{'$oid': '5cc930b7831b973d657f1054'},1939年,NULL,NULL,3.05米,NULL,2200千克,平直翼,8.25米
亚音速,http://images.huanqiu.com/sarons/2014/01/77ee47c419ac5f961f33521588d17914.jpg,PZL航空制造集团,1人,"
PZL P.7战斗机实际基本就是P.6机体稍做修改换装了更大功率风冷发动机，1932年批量投产151架，1933年全面取代PWS-10战斗机，P.7战斗机是全金属结构，在服役初期是当时最现代化的战斗机之一，不过到1939年战争爆发时，这种战斗机已经过时。
",600千米,520马力 英国 Bristol Jupiter VII F 9缸风冷发动机 ×1,PZL航空制造集团,单发,飞行器,战斗机,波兰,NULL,1090千克,NULL,327千米每小时,PZL P.7战斗机,{'$oid': '5cc930b7831b973d657f1055'},NULL,NULL,NULL,NULL,NULL,1476千克,平直翼,NULL
亚音速,http://images.huanqiu.com/sarons/2014/01/67a60c5a48900814ee2527a88737cf97.jpg,NULL,1人,"
该机型1942年6月投产，参加了斯大林格勒空战和库尔斯克空战，战术机动性好，可靠耐用，是拉式系列战斗机中战功卓著的明星，生产和使用了上万架。是大部分二战时苏联王牌飞行员的爱机，和当时苏联唯一曾经击败过Me-262喷射战斗机的飞机。

战后本机被用来军援其他社会主义国家，并参加过韩战和中国台海冲突，还发展了拉-9和拉-11，补充了问题较多的早期喷射战斗机不足，成为了苏联末代的螺旋桨战斗机。
",990千米,汽缸喷射式气冷发动机，1850马力,拉沃奇金设计局,单发,飞行器,战斗机,苏/俄,NULL,2650千克,9.68米,650千米每小时,拉-5战斗机,{'$oid': '5cc930b7831b973d657f1056'},NULL,NULL,NULL,2.9米,1942年7月,3400千克,平直翼,8.71米
亚音速,http://images.huanqiu.com/sarons/2014/01/eeccfd2d1e2bf3b3a782998d4358c308.jpg,NULL,1人,"
La-9战斗机是二大战后由拉沃奇金设计局设计的苏联末代螺旋桨战斗机，1946年6月试飞成功，1947年装备部队，共计生产了1559架。该机型1944年投入使用，综合性能超群，是拉式系列第一种全金属战斗机，为苏军典型的“前线战斗机”。

1950年1月，中国从苏联进口该机129架，首先用于战斗机航校的飞行训练。并有9架La-9飞机首次参加了国庆一周年阅兵，1959年最后5架退役。
",NULL,一具风冷式发动机（1850匹马力）,拉沃奇金设计局,单发,飞行器,战斗机,苏/俄,1953年,2660千克,9.8米,690千米每小时,La-9战斗机,{'$oid': '5cc930b7831b973d657f1057'},1946年8月,NULL,NULL,2.79米,NULL,3676千克,平直翼,8.62米
亚音速,NULL,NULL,1人,"
拉格-3战斗机是苏联在二战中生产和使用的一种单座单发活塞战斗机。从拉格-1派生而来，于1942年3月试飞成功。从1941年开始提前进入批量生产，直至1942年，共计生产6258架。到1942年冬季大反攻时，该机已成为苏联第一线主力机种。

作为德军入侵时前苏联拥有的较为现代化的战斗机之一，拉格-3以结实可靠著称。但在发动机性能和机动性上都比不上德军装备的Bf109F/G和FW190A，这两种飞机都曾给拉格-3以沉重的打击。
",1000千米,一台Klimov M-105PF活塞发动机，功率1180马力,拉沃契金设计局,单发,飞行器,战斗机,苏/俄,NULL,2205千克,9.8米,575千米每小时,拉格-3战斗机,{'$oid': '5cc930b7831b973d657f1058'},1939年3月30日,NULL,NULL,2.54米,1941年,3190千克,平直翼,8.81米
亚音速,http://images.huanqiu.com/sarons/2014/01/4936f18cf113ede4b231c969ff710042.jpg,苏霍伊,1人,"
苏-15是前苏联苏霍伊设计局六十年代初开始研制的单座双发全天候高空超音速截击战斗机，北约集团给予的绰号是“细嘴瓶”(Flagon)。苏-15的原型机于1965年首次试飞，1969年生产型开始装备部队，并逐步取代老式的苏-9/11，成为前苏联的主力国土防空战斗机。在七十年代末期，苏-15是前苏联高度保密的机种之一，只配置在前苏联本土，没有进驻华约其他国家，也未出口，当时前苏联空军曾装备了800架以上的苏-15，如今则只能在航空博物馆的停机坪上看见它。
",1500千米,Tumansky R-13F2-300 涡轮喷气发动机,NULL,单发,飞行器,战斗机,苏/俄,1996年 (乌克兰),10874千克,9.34米,2230千米每小时,苏-15战斗机,{'$oid': '5cc930b8831b973d657f1059'},1962年5月30日,NULL,NULL,4.84米,1967年,18140千克,后掠翼,19.56米
亚音速,http://images.huanqiu.com/sarons/2014/01/554d8f43364a6a44be6d9874f16db134.jpg,NULL,1人,"
纽堡17，由纽堡ll的基础上发展而来的，是法国著名的单发单座双翼战斗机。它的出现彻底扭转了福克E独霸一方天空的局面，并为法军夺回西线制空权。同时又是第一次世界大战前期王牌们乐意选用的机型。

其英国的使用者波尔，曾频频用机身上方的机枪攻击敌机脆弱的腹部，大获成功。他还勇敢地驾驶纽堡17单机飞往德国机场上空，趁拂晓时分，将一架又一架试图起飞的德敌打落，从而荣获胜利女神勋章。
",NULL,一台鲁隆空冷发动机，最大功率110马力,NULL,单发,飞行器,战斗机,法国,NULL,NULL,NULL,177千米每小时,纽堡17战斗机,{'$oid': '5cc930b8831b973d657f105a'},NULL,NULL,NULL,2.13米,NULL,NULL,双翼,5.94米
亚音速,http://images.huanqiu.com/sarons/2014/01/6cd767ea2c2de6edcc4c367b955543fe.jpg,NULL,1人,"
I-270是二战后苏联米格设计局以德国的Me 263战斗机为蓝本开发的火箭截击机，后被更具潜力的米格-15战斗机所替代。
",NULL,一台火箭发动机(推力=14.2kN),米格设计局,单发,飞行器,战斗机,苏/俄,NULL,1546千克,7.75米,936千米每小时,I-270战斗机,{'$oid': '5cc930b8831b973d657f105b'},1946年12月,NULL,NULL,3.08米,NULL,NULL,后掠翼,8.92米
亚音速,http://images.huanqiu.com/sarons/2014/01/f7b802f6a3a7a0060db93599d6107ef6.jpg,苏霍伊航空集团,2人,"
苏-47“金雕”（英文：Su-47 Berkut），北约代号：firkin（小木桶），是一架由俄罗斯联邦苏霍伊航空集团研发的超音速试验机，曾在设计与试飞阶段曾经给予S-32和S-37的编号。这架飞机的最大特点在于前掠翼的设计，与美国格鲁门公司的X-29试验机很相似。自2002年以后编号改为Su-47之后，显示这是一架准备进入量产的战机，不过极有可能在量产前需要先经过大幅修改（成为苏霍伊的“战术空军的未来空中复合架构”下之一部分，也就是“PAK FA”计划），而Su-47的编号不见得会使用在苏霍伊最后推出的设计案上。
",4000千米,2具土星公司AL-41F型涡扇发动机 带后燃器、数码控制推力向量,NULL,双发,飞行器,战斗机,苏/俄,NULL,16830千克,16.7米,2600千米每小时,苏-47金雕式战斗机,{'$oid': '5cc930b8831b973d657f105c'},1997年9月25日,NULL,NULL,6.3米,NULL,35000千克,前掠翼,22.6米
亚音速,NULL,NULL,1人,"
拉格-1(LaGG-1)是苏联拉沃奇金设计局设计的第一种战斗机，于1939 年 3 月 30 日完成了第一次试飞，并于1940年开始生产，共计生产100架。该机600 千米/时 的最大速度以及一门 20毫米机炮，两挺 12.7毫米机枪的火力堪称是1941 年初世界优秀的战机之一。

但是其未能参与到1940年冬天和芬兰的战争，服役后因机动性和爬升率不理想，故改为生产其改良型拉格-3战斗机，而德苏战争开始时仍有两个航空队使用拉格-1。
",556千米,一台水冷式M-105发动机(1100匹马力),拉沃奇金设计局,单发,飞行器,战斗机,苏/俄,NULL,2478千克,9.8米,606千米每小时,拉格-1战斗机,{'$oid': '5cc930b8831b973d657f105d'},1939 年 3 月 30 日,NULL,NULL,4.4米,NULL,5560千克,平直翼,8.81米
亚音速,http://images.huanqiu.com/sarons/2014/01/65694bd11ba2c1d283ccbe2ad980900a.jpg,苏霍伊,1人,"
苏-17是前苏联苏霍伊设计局研制的变后掠翼单座战斗轰炸机，是由固定翼战斗轰炸机苏-7发展而来的。1966年8月2日原型机首次试飞。原型机于1967年7月在莫斯科附近的多莫杰多沃机场首次公开展开，北约集团曾给予绰号“装配匠”(fitter)。生产型苏-17C于1971年开始装备前苏联空军的前线航空兵。目前苏-17除装备前线航空兵之外，还装备前苏联海军航空兵。前华约组织的一些国家也装备了这种飞机，此外还向前华约组织以外的国家出口，如埃及、伊拉克、利比亚、阿尔及利亚、秘鲁和越南等国。目前苏-17已从俄罗斯空军退出现役。
",2250千米,AL-21F-3喷射发动机,NULL,单发,飞行器,战斗机,苏/俄,NULL,12160千克,10.02米,1860千米每小时,苏-17攻击机,{'$oid': '5cc930b8831b973d657f105e'},1966年8月2日,NULL,NULL,5.12米,1970年,17700千克,后掠翼,19.02米
亚音速,http://images.huanqiu.com/sarons/2014/01/c2f141d27565da98f46a57c361ef8acd.jpg,PZL航空制造集团,1人,NULL,550千米,930马力 PZL法式 Gnome et Rh?ne 14K IIc32 风冷发动机 ×1,PZL航空制造集团,单发,飞行器,战斗机,波兰,NULL,1330千克,NULL,430千米每小时,PZL P.24战斗机,{'$oid': '5cc930b9831b973d657f105f'},1933年5月,NULL,NULL,NULL,NULL,2000千克,平直翼,NULL
亚音速,http://images.huanqiu.com/sarons/2014/01/ca3f85ca75adc1c0cef4a7bb2d29b015.jpg,拉霍奇金设计局,1人,"
拉—11是二战时期由拉沃契金设计局研制的单座单发战斗机，其原型机于1947年5月首发。是40年代末期飞行性能较先进的活塞式战斗机，仅投入了小批量生产，1953年停产。

1950年中国从苏联引进一批该机，并一度成为我国新组建的航空兵部队的主战机种之一，在抗美援朝，国土防空，西藏平叛中，立下了汗马功劳。
",2550千米,一台ASh-82FN 活塞发动机,NULL,单发,飞行器,战斗机,苏/俄,NULL,2770千克,9.8米,674千米每小时,La-11战斗机,{'$oid': '5cc930b9831b973d657f1060'},NULL,NULL,NULL,2.8米,NULL,3996千克,平直翼,8.63米
亚音速,http://images.huanqiu.com/sarons/2014/01/eb7cccd37ed7685df53c2af34fb5521b.jpg,NULL,1人,"
拉-7是拉-5的改良型，为雅克福列夫所设计的一种专用教练机，1943年投入使用，是40年代中后期苏军的主力战斗机，是二战中欧洲战场上的最佳歼击机之一，生产了5753架。

拉-7性能可靠、火力强大、速度快，从地面松开刹车起飞到到达5000米高度，只需4分30秒。战后，西方国家都不得不承认，拉—7是战时欧洲上空当之无愧的最优秀的战斗机之一。雅克-7的改进型也曾参加过斯大林格勒保卫战，战果非凡。
",990千米,汽缸喷射式气冷发动机，1850马力,拉沃奇金设计局,单发,飞行器,战斗机,苏/俄,1950年,2650千克,9.8米,680千米每小时,拉-7战斗机,{'$oid': '5cc930b9831b973d657f1061'},1944年,NULL,NULL,2.6米,NULL,3400千克,平直翼,8.9米
亚音速,http://images.huanqiu.com/sarons/2014/01/53aae70f6e370879ee6f2b7b3ae00f42.jpg,洛克希德,1人,"
CL-1200-1使用的是F-104所用发动机的升级型号通用电气J79涡喷发动机。而被改造成X-27的二号机使用了普拉特·惠特尼公司的TF-30涡扇发动机。如果X-27最终进入美国空军服役的话，他将是世界第一种使用涡扇发动机的单发轻型战斗机。两架原型机都因为缺少经费没有安装火控和武器系统。
",2720千米,普拉特·惠特尼TF30-P-100涡轮风扇发动机,NULL,单发,飞行器,战斗机,美国,NULL,8112千克,8.89米,2330千米每小时,CL-1200/X-27枪骑兵,{'$oid': '5cc930ba831b973d657f1062'},NULL,NULL,NULL,5.23米,NULL,15900千克,后掠翼,17.45米
